scope_id,scope_label,metric,entity_count,denominator,pct,notes,slice_id,context_label,metric_label,metric_order,context_order
france,France,missing_country_of_citizenship,526,2922,18.0,No Wikidata P27 value in the enrichment export.,france,France,Missing citizenship,0,0
france,France,no_place_context,193,2922,6.61,No birth/death/residence/work-location context rows recovered.,france,France,No place context,1,0
france,France,no_wikipedia_article_in_tracked_editions,613,2922,20.98,No Wikipedia sitelink in the tracked language-edition matrix.,france,France,No tracked Wikipedia article,2,0
france,France,unresolved_name_label,26,2922,0.89,Name still appears as a raw Wikidata QID.,france,France,Unresolved name label,3,0
france,France,no_mapped_affiliation_candidate,0,2922,0.0,No mapped candidate in the formula-backed affiliation evidence table.,france,France,No mapped affiliation candidate,4,0
france,France,top_affiliation_single_field_or_less,297,2922,10.16,Top affiliation candidate is supported by zero or one evidence field.,france,France,Top affiliation <= 1 field,5,0
germany,Germany,missing_country_of_citizenship,1456,3711,39.23,No Wikidata P27 value in the enrichment export.,germany,Germany,Missing citizenship,0,1
germany,Germany,no_place_context,16,3711,0.43,No birth/death/residence/work-location context rows recovered.,germany,Germany,No place context,1,1
germany,Germany,no_wikipedia_article_in_tracked_editions,905,3711,24.39,No Wikipedia sitelink in the tracked language-edition matrix.,germany,Germany,No tracked Wikipedia article,2,1
germany,Germany,unresolved_name_label,67,3711,1.81,Name still appears as a raw Wikidata QID.,germany,Germany,Unresolved name label,3,1
germany,Germany,no_mapped_affiliation_candidate,0,3711,0.0,No mapped candidate in the formula-backed affiliation evidence table.,germany,Germany,No mapped affiliation candidate,4,1
germany,Germany,top_affiliation_single_field_or_less,502,3711,13.53,Top affiliation candidate is supported by zero or one evidence field.,germany,Germany,Top affiliation <= 1 field,5,1
british,British,missing_country_of_citizenship,433,2099,20.63,No Wikidata P27 value in the enrichment export.,british,British,Missing citizenship,0,2
british,British,no_place_context,503,2099,23.96,No birth/death/residence/work-location context rows recovered.,british,British,No place context,1,2
british,British,no_wikipedia_article_in_tracked_editions,318,2099,15.15,No Wikipedia sitelink in the tracked language-edition matrix.,british,British,No tracked Wikipedia article,2,2
british,British,unresolved_name_label,16,2099,0.76,Name still appears as a raw Wikidata QID.,british,British,Unresolved name label,3,2
british,British,no_mapped_affiliation_candidate,0,2099,0.0,No mapped candidate in the formula-backed affiliation evidence table.,british,British,No mapped affiliation candidate,4,2
british,British,top_affiliation_single_field_or_less,749,2099,35.68,Top affiliation candidate is supported by zero or one evidence field.,british,British,Top affiliation <= 1 field,5,2
china,China,missing_country_of_citizenship,14,424,3.3,No Wikidata P27 value in the enrichment export.,china,China/Qing,Missing citizenship,0,3
china,China,no_place_context,319,424,75.24,No birth/death/residence/work-location context rows recovered.,china,China/Qing,No place context,1,3
china,China,no_wikipedia_article_in_tracked_editions,166,424,39.15,No Wikipedia sitelink in the tracked language-edition matrix.,china,China/Qing,No tracked Wikipedia article,2,3
china,China,unresolved_name_label,22,424,5.19,Name still appears as a raw Wikidata QID.,china,China/Qing,Unresolved name label,3,3
china,China,no_mapped_affiliation_candidate,0,424,0.0,No mapped candidate in the formula-backed affiliation evidence table.,china,China/Qing,No mapped affiliation candidate,4,3
china,China,top_affiliation_single_field_or_less,330,424,77.83,Top affiliation candidate is supported by zero or one evidence field.,china,China/Qing,Top affiliation <= 1 field,5,3
