example_group,wikidata_id,name,birth_year,gender_category,context_count,context_labels,wikipedia_sitelink_count,best_candidate_affiliation,top_candidate_affiliations,occupation_labels,evidence_note,presenter_use
multi_context_high_visibility,http://www.wikidata.org/entity/Q194402,Joshua Reynolds,1723,male,3,France | Germany | British,61,British,British,artiste peintre | artiste visuel ou artiste visuelle | collectionneur ou collectionneuse d'œuvres d'art | écrivain ou écrivaine,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
multi_context_high_visibility,http://www.wikidata.org/entity/Q213163,Élisabeth Vigée Le Brun,1755,female,3,France | Germany | British,61,France,France,artiste | artiste peintre | salonnier ou salonnière | écrivain ou écrivaine,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
multi_context_high_visibility,http://www.wikidata.org/entity/Q122382,Johann Heinrich Füssli,1741,male,3,France | Germany | British,45,British,British,artiste | artiste graphique | artiste peintre | artiste visuel ou artiste visuelle | dessinateur ou dessinatrice | dessinateur ou dessinatrice en bâtiment | historien ou historienne de l'art | illustrateur ou illustratrice | poète ou poétesse,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
multi_context_high_visibility,http://www.wikidata.org/entity/Q268166,Lorenzo Da Ponte,1749,male,3,France | Germany | British,44,Italian,Italian,auteur-compositeur ou autrice-compositrice | compositeur ou compositrice | dramaturge | librettiste | poète ou poétesse | traducteur ou traductrice | écrivain ou écrivaine,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
multi_context_high_visibility,http://www.wikidata.org/entity/Q1870121,Johann Lorenz Natter,1705,male,3,France | Germany | British,7,Germany,Germany,archéologue | médailleur ou médailleuse | sculpteur ou sculptrice | écrivain ou écrivaine,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
multi_context_high_visibility,http://www.wikidata.org/entity/Q3595258,James Forbes,1749,male,3,France | Germany | British,7,British,British,écrivain ou écrivaine,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
multi_context_high_visibility,http://www.wikidata.org/entity/Q3164584,Jean-Bernard Le Blanc,1707,male,3,France | Germany | British,3,France,France,collectionneur ou collectionneuse | historien ou historienne | poète ou poétesse | traducteur ou traductrice,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
multi_context_high_visibility,http://www.wikidata.org/entity/Q2856990,Anton Bemetzrieder,1739,male,3,France | Germany | British,3,France,France,claveciniste | compositeur ou compositrice | professeur ou professeure de musique | théoricien ou théoricienne de la musique | écrivain ou écrivaine,Appears in more than one reviewed context slice.,"Use to show that the ontology captures crossing affiliations, not just four isolated buckets."
british_place_only,http://www.wikidata.org/entity/Q213163,Élisabeth Vigée Le Brun,1755,female,3,France | Germany | British,61,France,France,artiste | artiste peintre | salonnier ou salonnière | écrivain ou écrivaine,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
british_place_only,http://www.wikidata.org/entity/Q268166,Lorenzo Da Ponte,1749,male,3,France | Germany | British,44,Italian,Italian,auteur-compositeur ou autrice-compositrice | compositeur ou compositrice | dramaturge | librettiste | poète ou poétesse | traducteur ou traductrice | écrivain ou écrivaine,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
british_place_only,http://www.wikidata.org/entity/Q1870121,Johann Lorenz Natter,1705,male,3,France | Germany | British,7,Germany,Germany,archéologue | médailleur ou médailleuse | sculpteur ou sculptrice | écrivain ou écrivaine,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
british_place_only,http://www.wikidata.org/entity/Q3164584,Jean-Bernard Le Blanc,1707,male,3,France | Germany | British,3,France,France,collectionneur ou collectionneuse | historien ou historienne | poète ou poétesse | traducteur ou traductrice,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
british_place_only,http://www.wikidata.org/entity/Q2856990,Anton Bemetzrieder,1739,male,3,France | Germany | British,3,France,France,claveciniste | compositeur ou compositrice | professeur ou professeure de musique | théoricien ou théoricienne de la musique | écrivain ou écrivaine,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
british_place_only,http://www.wikidata.org/entity/Q1394958,Hebelius Potter,1768,male,3,France | Germany | British,2,Dutch,Dutch,écrivain ou écrivaine,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
british_place_only,http://www.wikidata.org/entity/Q3992807,Tommaso Medin,1725,male,3,France | Germany | British,1,Italian,Italian,aventurier ou aventurière | écrivain ou écrivaine,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
british_place_only,http://www.wikidata.org/entity/Q94943479,Jean-Godefroy Würtz,1768,male,3,France | Germany | British,0,France,France,imprimeur-libraire ou imprimeuse-libraire | libraire | écrivain ou écrivaine | éditeur ou éditrice,"Recovered by British place context, not citizenship evidence.",Use to explain why citizenship alone undercounts imperial or colonial context.
germany_place_only,http://www.wikidata.org/entity/Q194402,Joshua Reynolds,1723,male,3,France | Germany | British,61,British,British,artiste peintre | artiste visuel ou artiste visuelle | collectionneur ou collectionneuse d'œuvres d'art | écrivain ou écrivaine,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
germany_place_only,http://www.wikidata.org/entity/Q213163,Élisabeth Vigée Le Brun,1755,female,3,France | Germany | British,61,France,France,artiste | artiste peintre | salonnier ou salonnière | écrivain ou écrivaine,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
germany_place_only,http://www.wikidata.org/entity/Q122382,Johann Heinrich Füssli,1741,male,3,France | Germany | British,45,British,British,artiste | artiste graphique | artiste peintre | artiste visuel ou artiste visuelle | dessinateur ou dessinatrice | dessinateur ou dessinatrice en bâtiment | historien ou historienne de l'art | illustrateur ou illustratrice | poète ou poétesse,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
germany_place_only,http://www.wikidata.org/entity/Q268166,Lorenzo Da Ponte,1749,male,3,France | Germany | British,44,Italian,Italian,auteur-compositeur ou autrice-compositrice | compositeur ou compositrice | dramaturge | librettiste | poète ou poétesse | traducteur ou traductrice | écrivain ou écrivaine,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
germany_place_only,http://www.wikidata.org/entity/Q3595258,James Forbes,1749,male,3,France | Germany | British,7,British,British,écrivain ou écrivaine,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
germany_place_only,http://www.wikidata.org/entity/Q3164584,Jean-Bernard Le Blanc,1707,male,3,France | Germany | British,3,France,France,collectionneur ou collectionneuse | historien ou historienne | poète ou poétesse | traducteur ou traductrice,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
germany_place_only,http://www.wikidata.org/entity/Q2856990,Anton Bemetzrieder,1739,male,3,France | Germany | British,3,France,France,claveciniste | compositeur ou compositrice | professeur ou professeure de musique | théoricien ou théoricienne de la musique | écrivain ou écrivaine,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
